System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
Q020-DF0851,Bottle Filler High Low,"Out_in_Open,Under_Tree",,Q020,Highland Park,Q020-ZN04,Q,3,Q-05A,Bottle Filler High Low-Highland Park-Highland Park Zone 4,Active,POINT (-73.886836 40.684074)
M010-DF0891,E and Dog,,,M010,Central Park,M010-ZN05,M,2,M-13,"E and Dog-Central Park-Dairy, Chess & Checkers House, Carousel",Active,POINT (-73.975355 40.769736)
B210B-DF0531,A,In Playground,YES,B210B,D'Emic Playground,B210B,B,1,B-07,A-D'Emic Playground,Active,POINT (-74.005377 40.655967)
B395-DF0916,C,In Playground,,B395,Green Central Knoll,B395,B,1,B-04,C-Green Central Knoll,Active,POINT (-73.933187 40.702352)
Q089B-DF0655,A,Just Outside Playground,NO,Q089B,Harvey Park,Q089B,Q,1,Q-07,A-Harvey Park,Active,POINT (-73.823548 40.782924)
X191A-DF0035,A,"Under Tree, Out in Open",NO,X191A,Bicentennial Veterans Memorial Park,X191A,X,1,X-10,A-Bicentennial Veterans Memorial Park,Active,POINT (-73.814131 40.823263)
M010-DF1065,Water Cooler,Indoor,,M010,Central Park,M010-ZN27-BLG0682,M,1,M-13,Water Cooler-Central Park-86TH Street Shops,Active,POINT (-73.965843 40.783793)
B052-DF0763,E,In Playground,NO,B052,Leif Ericson Park,B052-03,B,1,B-10,E-Leif Ericson Park-Leif Ericson Park Playground,Active,POINT (-74.01266 40.631168)
M010-DF0662,B,Out in Open,,M010,Central Park,M010-ZN31,M,1,M-13,B-Central Park-Reservoir Running Track & Landscape,Active,POINT (-73.96254 40.782189)
Q363-DF0589,A,"Under Tree, Just Outside Playground",NO,Q363,Northern Playground,Q363,Q,1,Q-03,A-Northern Playground,Active,POINT (-73.874612 40.756407)
B271-DF0279,C,"Out in Open, In Playground",YES,B271,Railroad Playground,B271,B,1,B-17,C-Railroad Playground,Active,POINT (-73.914157 40.649154)
Q163-DF0425,Trough,Out in Open,NO,Q163,Rockaway Beach Boardwalk,Q163-ZN06B,Q,1,Q-14,Trough-Rockaway Beach Boardwalk-Rockaway Beach 06b,Active,POINT (-73.816833 40.582895)
B169-DF0604,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN06B,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 6b,Active,POINT (-73.988161 40.572187)
B310-DF0465,C,"In Shade, Just Outside Playground",NO,B310,Bushwick Playground,B310,B,1,B-01,C-Bushwick Playground,Active,POINT (-73.939507 40.701741)
B028-DF0654,C,Near Ballfield,NO,B028,Dyker Beach Park,B028-ZN01,B,1,B-10,C-Dyker Beach Park-Dyker Beach Park Zone 1,Active,POINT (-74.020168 40.60649)
B223A-DF0237,E and Dog,Out in Open,YES,B223A,Dimattina Playground,B223A,B,2,B-06,E and Dog-Dimattina Playground,Active,POINT (-74.003068 40.679818)
Q356-DF0692,E,Out in Open,YES,Q356,Alley Park,Q356,Q,1,Q-07A,E-Alley Park,Active,POINT (-73.745851 40.747062)
Q096B-DF0490,C,Under Tree,NO,Q096B,Southern Fields,Q096B,Q,1,Q-10,C-Southern Fields,Active,POINT (-73.826932 40.665946)
X271-DF0432,C,"Under Tree, In Shade",NO,X271,Grant Park,X271,X,1,X-04,C-Grant Park,Active,POINT (-73.911802 40.837781)
M042-DF0179,A,Under Tree,YES,M042,Inwood Hill Park,M042-ZN01,M,1,M-12,A-Inwood Hill Park-Inwood Hill Park Zone 1,Active,POINT (-73.92139 40.870487)
Q373-DF0155,D,Near Ballfield,NO,Q373,Helen Marshall Playground,Q373,Q,1,Q-03,D-East Elmhurst Playground,Active,POINT (-73.871049 40.766108)
